stage,combo_size,models,pr_auc,roc_auc
Ensemble,3,xgboost+catboost+random_forest,0.583869000000000,0.9251210000000000
Ensemble,4,lightgbm+vae+lstm+random_forest,0.5834050000000000,0.922394000000000
Ensemble,3,lightgbm+catboost+random_forest,0.5831740000000000,0.9283090000000001
Ensemble,3,xgboost+vae+lstm,0.5817870000000001,0.9085910000000000
Ensemble,3,xgboost+mlp+vae,0.5817580000000000,0.90006700000000
Ensemble,2,xgboost+lstm,0.5810830000000000,0.9072420000000000
Ensemble,2,xgboost+mlp,0.5805490000000000,0.898895000000000
Ensemble,2,lightgbm+random_forest,0.576804000000000,0.9256730000000000
Ensemble,5,xgboost+mlp+vae+lstm+random_forest,0.5760610000000000,0.9148380000000000
Ensemble,2,lightgbm+vae,0.5750530000000000,0.9179170000000000
Ensemble,4,xgboost+mlp+lstm+random_forest,0.5750459999999999,0.9125970000000000
Ensemble,4,xgboost+mlp+vae+random_forest,0.5732610000000000,0.9116480000000000
Ensemble,3,lightgbm+catboost+vae,0.5731730000000000,0.9218300000000000
Ensemble,3,xgboost+mlp+random_forest,0.5721070000000000,0.9101050000000001
Ensemble,3,xgboost+lstm+random_forest,0.5713120000000000,0.9151270000000000
Lone Meta-Model,1,xgboost,0.5708620000000000,0.9012150000000000
Ensemble,4,xgboost+vae+lstm+random_forest,0.5699470000000000,0.9145790000000000
Ensemble,4,lightgbm+xgboost+vae+random_forest,0.5690330000000000,0.9212939999999999
Ensemble,4,catboost+mlp+vae+lstm,0.5663310000000000,0.9158090000000000
Ensemble,3,catboost+mlp+lstm,0.5662340000000000,0.9145260000000000
Ensemble,5,catboost+mlp+vae+lstm+random_forest,0.5651560000000000,0.9178290000000000
Ensemble,4,catboost+mlp+lstm+random_forest,0.5648810000000000,0.916828000000000
Ensemble,3,catboost+mlp+vae,0.564368000000000,0.9140580000000000
Ensemble,2,catboost+mlp,0.5640200000000000,0.9130990000000000
Ensemble,4,catboost+mlp+vae+random_forest,0.5637560000000000,0.9164369999999999
Ensemble,3,catboost+mlp+random_forest,0.5634290000000000,0.9159280000000000
Ensemble,2,catboost+lstm,0.5614090000000000,0.9171850000000000
Ensemble,3,catboost+vae+lstm,0.5595300000000000,0.9163090000000000
Ensemble,3,catboost+lstm+random_forest,0.5594610000000000,0.91874100000000
Ensemble,4,catboost+vae+lstm+random_forest,0.5580250000000000,0.9165870000000000
Ensemble,2,xgboost+random_forest,0.5571860000000000,0.9199220000000000
Lone Meta-Model,1,catboost,0.5483400000000000,0.9203010000000000
Ensemble,2,catboost+random_forest,0.5438600000000000,0.921519000000000
Ensemble,4,mlp+vae+lstm+random_forest,0.541247000000000,0.9060640000000000
Ensemble,3,mlp+lstm+random_forest,0.5403640000000000,0.9049660000000000
Ensemble,3,mlp+vae+random_forest,0.5378630000000000,0.9033300000000000
Ensemble,2,mlp+random_forest,0.5366760000000000,0.9029580000000000
Ensemble,2,lstm+random_forest,0.5325280000000000,0.9053450000000000
Ensemble,3,vae+lstm+random_forest,0.5299370000000000,0.9017990000000000
Ensemble,4,lightgbm+catboost+vae+random_forest,0.5212160000000000,0.9169640000000000
Ensemble,3,lightgbm+vae+random_forest,0.5145230000000000,0.9140040000000000
Ensemble,3,xgboost+catboost+vae,0.5137790000000000,0.9149900000000000
Ensemble,4,xgboost+catboost+vae+random_forest,0.5118570000000000,0.9152230000000000
Ensemble,3,mlp+vae+lstm,0.504305000000000,0.878964000000000
Ensemble,2,mlp+lstm,0.5042790000000000,0.8788470000000000
Lone Meta-Model,1,random_forest,0.500332000000000,0.9033390000000000
Lone Meta-Model,1,lstm,0.48648900000000000,0.8738280000000000
Ensemble,2,vae+lstm,0.48375899999999999,0.8738370000000000
Lone Meta-Model,1,mlp,0.4794940000000000,0.862502000000000
Ensemble,2,mlp+vae,0.47915999999999997,0.8616900000000000
Ensemble,3,catboost+vae+random_forest,0.3036750000000000,0.9049350000000000
Ensemble,3,xgboost+vae+random_forest,0.2874640000000000,0.9031910000000000
Ensemble,2,catboost+vae,0.2678020000000000,0.9026750000000000
Ensemble,2,xgboost+vae,0.24775200000000000,0.8981260000000000
Ensemble,2,vae+random_forest,0.2227360000000000,0.88336200000000
Lone Meta-Model,1,vae,0.10879000000000000,0.7558980000000000
